model,econ_x,social_y,cloud_mean_econ_x,cloud_mean_social_y,cloud_std_econ_x,cloud_std_social_y,n_questions,mean_FREEDMAN_BOT,mean_KIM_BOT,mean_MACRON_BOT,mean_MAMDANI_BOT,mean_MILEI_BOT,mean_AOC_BOT,mean_PUTIN_BOT,mean_TRUMP_BOT
chatgpt,0.0254,2.2103,0.0399,2.1446,1.7712,1.4545,13,4.385,4.077,4.769,4.692,3.615,5.0,4.692,3.385
claude,1.0112,1.7099,0.9636,1.6442,1.717,1.188,22,4.818,2.5,4.909,4.727,3.773,5.0,4.682,4.045
grok,2.1718,1.9288,2.2495,1.9446,1.3775,1.8458,31,5.29,2.581,4.419,2.774,4.903,3.484,4.645,4.742
